,data,time,TT-1,TT-2,TT-3,TT-4,TT-5,TT-6,TT-7,TT-8,TT-9,TT-10,TT-11,TT-12
1,2022/10/17,19:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2,2022/10/17,19:00:02,0,0,0,0,0,0,0,0,0,0,0,0
3,2022/10/17,19:00:04,0,0,0,0,0,0,0,0,0,0,0,0
4,2022/10/17,19:00:06,0,0,0,0,0,0,0,0,0,0,0,0
5,2022/10/17,19:00:08,0,0,0,0,0,0,0,0,0,0,0,0
,2022/10/17,19:00:10,0,0,0,0,0,0,0,0,0,0,0,0
,2022/10/17,19:00:12,0,0,0,0,0,0,0,0,0,0,0,0
,2022/10/17,19:00:14,0,0,0,0,0,0,0,0,0,0,0,0
,2022/10/17,19:00:16,0,0,0,0,0,0,0,0,0,0,0,0
,2022/10/17,19:00:18,0,0,0,0,0,0,0,0,0,0,0,0
,2022/10/17,19:00:20,0,0,0,0,0,0,0,0,0,0,0,0
